beta_x1,beta_s_x2,beta_s_pois,sigma_s_x2,sigma_s_pois
1.0000000000000002,1.0,1.0,-1.1,-0.6
1.0,1.0,1.0000000000000002,-1.1,-0.6
0.9999999999999998,1.0,0.9999999999999998,-1.1,-0.6
0.9999999999999998,0.9999999999999997,1.0,-1.1,-0.6
1.0000000000000002,0.9999999999999999,1.0,-1.1,-0.6
1.0000000000000002,1.0,1.0,-1.1,-0.6
1.0,0.9999999999999998,0.9999999999999998,-1.1,-0.6
1.0000000000000002,1.0,0.9999999999999998,-1.1,-0.6
1.0000000000000002,1.0,0.9999999999999998,-1.1,-0.6
0.9999999999999998,1.0,1.0000000000000002,-1.1,-0.6
0.9999999999999999,1.0,0.9999999999999998,-1.1,-0.6
0.9999999999999999,0.9999999999999998,1.0000000000000002,-1.1,-0.6
1.0000000000000002,0.9999999999999999,1.0,-1.1,-0.6
1.0,1.0,1.0000000000000002,-1.1,-0.6
1.0,1.0000000000000002,1.0000000000000002,-1.1,-0.6
1.0,0.9999999999999997,0.9999999999999999,-1.1,-0.6
1.0000000000000002,0.9999999999999998,1.0,-1.1,-0.6
1.0000000000000002,1.0000000000000002,0.9999999999999996,-1.1,-0.6
1.0,1.0,0.9999999999999999,-1.1,-0.6
0.9999999999999997,0.9999999999999999,1.0000000000000002,-1.1,-0.6
1.0,1.0,1.0,-1.1,-0.6
0.9999999999999997,1.0000000000000004,0.9999999999999999,-1.1,-0.6
1.0000000000000002,1.0,0.9999999999999998,-1.1,-0.6
1.0,1.0,1.0000000000000002,-1.1,-0.6
1.0000000000000002,0.9999999999999996,0.9999999999999999,-1.1,-0.6
0.9999999999999997,0.9999999999999996,0.9999999999999997,-1.1,-0.6
1.0,1.0000000000000002,1.0,-1.1,-0.6
1.0000000000000002,1.0,1.0,-1.1,-0.6
1.0000000000000002,1.0,0.9999999999999997,-1.1,-0.6
1.0,1.0,1.0000000000000004,-1.1,-0.6
0.9999999999999996,0.9999999999999998,1.0,-1.1,-0.6
1.0000000000000002,0.9999999999999999,1.0,-1.1,-0.6
1.0,1.0000000000000004,1.0,-1.1,-0.6
0.9999999999999998,0.9999999999999999,0.9999999999999999,-1.1,-0.6
1.0,1.0,1.0000000000000002,-1.1,-0.6
0.9999999999999999,1.0,1.0000000000000004,-1.1,-0.6
1.0,0.9999999999999998,1.0000000000000002,-1.1,-0.6
1.0,0.9999999999999998,1.0000000000000002,-1.1,-0.6
0.9999999999999998,1.0,1.0000000000000002,-1.1,-0.6
1.0000000000000002,1.0,1.0000000000000002,-1.1,-0.6
0.9999999999999999,1.0,0.9999999999999999,-1.1,-0.6
1.0000000000000002,1.0000000000000004,0.9999999999999999,-1.1,-0.6
1.0,1.0,0.9999999999999997,-1.1,-0.6
1.0,0.9999999999999999,1.0,-1.1,-0.6
1.0,1.0000000000000002,0.9999999999999999,-1.1,-0.6
0.9999999999999999,1.0,1.0,-1.1,-0.6
0.9999999999999999,1.0,0.9999999999999999,-1.1,-0.6
1.0000000000000002,1.0,1.0,-1.1,-0.6
1.0,0.9999999999999999,0.9999999999999997,-1.1,-0.6
1.0000000000000002,0.9999999999999997,1.0000000000000002,-1.1,-0.6
0.9999999999999998,1.0,0.9999999999999998,-1.1,-0.6
0.9999999999999999,1.0,0.9999999999999999,-1.1,-0.6
1.0,0.9999999999999999,1.0,-1.1,-0.6
1.0000000000000002,1.0,0.9999999999999999,-1.1,-0.6
1.0000000000000002,1.0,0.9999999999999999,-1.1,-0.6
1.0000000000000004,1.0,1.0,-1.1,-0.6
1.0000000000000002,1.0000000000000004,1.0,-1.1,-0.6
1.0,1.0000000000000002,1.0,-1.1,-0.6
0.9999999999999998,0.9999999999999998,1.0000000000000002,-1.1,-0.6
1.0000000000000002,1.0,0.9999999999999999,-1.1,-0.6
1.0,1.0000000000000002,1.0000000000000002,-1.1,-0.6
1.0000000000000004,1.0000000000000002,1.0,-1.1,-0.6
0.9999999999999999,1.0,0.9999999999999998,-1.1,-0.6
1.0,0.9999999999999999,1.0,-1.1,-0.6
1.0,1.0000000000000002,1.0000000000000004,-1.1,-0.6
1.0,1.0000000000000002,0.9999999999999999,-1.1,-0.6
1.0,1.0000000000000002,1.0,-1.1,-0.6
1.0000000000000002,1.0000000000000002,0.9999999999999999,-1.1,-0.6
1.0000000000000004,1.0,0.9999999999999996,-1.1,-0.6
1.0000000000000002,1.0,1.0000000000000002,-1.1,-0.6
0.9999999999999999,0.9999999999999998,1.0000000000000004,-1.1,-0.6
1.0000000000000002,0.9999999999999998,0.9999999999999999,-1.1,-0.6
1.0,1.0000000000000002,0.9999999999999998,-1.1,-0.6
1.0000000000000004,1.0000000000000002,0.9999999999999999,-1.1,-0.6
1.0000000000000002,1.0,0.9999999999999996,-1.1,-0.6
1.0,1.0000000000000004,0.9999999999999999,-1.1,-0.6
1.0,0.9999999999999999,1.0,-1.1,-0.6
1.0000000000000002,1.0000000000000002,0.9999999999999999,-1.1,-0.6
1.0000000000000002,0.9999999999999999,1.0,-1.1,-0.6
0.9999999999999998,1.0,0.9999999999999999,-1.1,-0.6
1.0,0.9999999999999999,1.0,-1.1,-0.6
1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.1,-0.6
1.0000000000000002,1.0,1.0,-1.1,-0.6
0.9999999999999998,0.9999999999999999,1.0000000000000002,-1.1,-0.6
0.9999999999999998,1.0,1.0,-1.1,-0.6
0.9999999999999999,0.9999999999999997,1.0000000000000002,-1.1,-0.6
0.9999999999999994,0.9999999999999999,1.0,-1.1,-0.6
