beta_x1,beta_s_x2,beta_s_pois,sigma_s_x2,sigma_s_pois
1.0000881557234462,0.9944909696736502,1.0057175560360905,-0.81,-1.29
1.0001066508485792,0.9990044031735937,1.0091747985345692,-0.82,-1.29
1.0016062547264442,0.9958926479784783,1.0085021238908014,-0.81,-1.29
0.9998281239463227,0.9908342027400886,1.01332490029226,-0.82,-1.29
0.9995176120391907,0.9983189274384393,1.008344405430603,-0.81,-1.29
1.0000143957118035,0.999087786176062,1.0032583052092274,-0.81,-1.29
1.0003613007544232,0.9915747711657198,1.0145151970049113,-0.82,-1.29
1.0017194663405165,0.9981831852632617,1.0070515492181973,-0.81,-1.29
0.9981229705742746,0.9953938713634103,1.0090944783182114,-0.81,-1.29
0.9985751514378317,0.9967785656831396,1.005246715626752,-0.81,-1.29
1.0003420017893818,0.9954454413478079,1.0157911657704997,-0.82,-1.29
0.9985851059937165,0.9939217317520093,1.005152437676153,-0.81,-1.29
0.9999412672701773,0.99532064041893,1.0046012589051947,-0.81,-1.29
0.9984654286872214,0.9986923072569525,1.0041285241061606,-0.81,-1.29
0.9991359456996887,0.9970808538462534,1.008803096230453,-0.81,-1.29
1.0006815757793868,1.000015257066285,1.0090305942138764,-0.82,-1.29
0.9991271228968337,0.9952541716931349,1.0048626448228528,-0.81,-1.29
1.000417752359046,0.9989096166956338,1.0055801900689016,-0.81,-1.29
1.0003527205185239,0.9913611167552282,1.013074879296615,-0.82,-1.29
1.0011057490763982,0.9961811650265333,1.0069614417759105,-0.81,-1.29
1.0000236688572939,0.9941223972476226,1.0078635821906876,-0.81,-1.29
1.000916891417047,0.9963450859587344,1.0013368044678843,-0.81,-1.29
0.9999796732886619,0.9965316680933758,1.0066294156280557,-0.81,-1.29
0.9996591117884525,0.9992626968685628,1.0105626208048841,-0.82,-1.29
1.0010741655966524,0.9988916412435914,1.0068920109005595,-0.81,-1.29
1.0004081973362866,0.9987976266340982,1.009829830888226,-0.81,-1.29
0.9987751037350783,0.9999021626933371,1.0048600863941897,-0.81,-1.29
0.9997515655411623,0.9997982164680391,1.0053674216716215,-0.82,-1.29
1.001095188120539,0.9962357728063084,1.0052167545522182,-0.81,-1.29
0.9992967708842925,0.9943331188428136,1.0082312772593467,-0.81,-1.29
0.9991313099642467,0.9944982836589645,1.007821522793116,-0.81,-1.29
1.0000164659393562,0.9976127223778576,1.0054690918521385,-0.82,-1.29
0.9999204461939988,0.9972629241396409,1.0168128472001812,-0.82,-1.29
1.0006306234774074,0.9948683796465214,1.0055822582351335,-0.81,-1.29
0.9995382415129137,0.9990592446277902,1.0123626603392613,-0.82,-1.29
1.000115646059113,0.9947921557696449,1.0084858213084997,-0.81,-1.29
0.9996780824615855,0.9971773032657648,1.0049340789344128,-0.81,-1.29
0.9986654572088531,0.9996418894838166,1.006768286116078,-0.81,-1.29
0.9998238857153012,0.9971818782680563,1.0066443787473291,-0.81,-1.29
1.0001317868560091,0.9929961835844102,1.0133472976034796,-0.82,-1.29
1.0012453113970938,0.9999192100095008,1.0092144074225349,-0.82,-1.29
0.999737379647912,0.9954767947499393,1.0063628504732696,-0.81,-1.29
0.9999692042770232,0.9955407566551572,1.0097997851876475,-0.82,-1.29
0.9993668203239042,0.9988560549320911,1.0153506988474985,-0.82,-1.29
1.0002973285063854,0.993902670089151,1.0078848554378845,-0.81,-1.29
1.0000632527757554,0.9903252177733751,1.0115456271815317,-0.82,-1.29
0.9997081424042278,0.9982633015981209,1.004369684622092,-0.81,-1.29
1.000205934424393,0.9966344281986584,1.0071040242414535,-0.81,-1.29
1.0003475947507237,0.9987117077323308,1.0093935422919103,-0.81,-1.29
1.0010458749892173,0.9946161675638031,1.0152043037099376,-0.82,-1.29
1.0009890554286485,0.9967806056607347,1.0158761571514912,-0.82,-1.29
0.9992380270386315,0.992217934897715,1.0142058653791661,-0.82,-1.29
1.0007547315650522,0.9987722773153106,1.0095767416053987,-0.81,-1.29
0.9982786763527343,0.995442046474108,1.0070204778323757,-0.81,-1.29
1.0019810859881233,0.9947805651881649,1.0047017004622272,-0.81,-1.29
1.0001974526639343,0.9905653476690124,1.0138698580037147,-0.83,-1.28
1.0001047369481688,0.9984426940530529,1.007576011977889,-0.81,-1.29
1.0008491816618224,0.9652439711788413,1.0498713314532095,-0.91,-1.24
1.0015474760787058,0.9972143308354902,1.0052434540139188,-0.81,-1.29
0.9995734034585254,0.9993798777489691,1.007129557469345,-0.81,-1.29
1.001550996032128,0.9942245960648626,1.008756478441493,-0.81,-1.29
1.0004166969318558,0.9924993707681294,1.005339223559266,-0.81,-1.29
0.9994036328355379,0.9950689416740005,1.0091415664590144,-0.82,-1.29
1.0014834511917594,0.9860900687911568,1.0248733551392082,-0.85,-1.28
0.9994846292953338,0.9999129803302921,1.0040790770394565,-0.81,-1.29
0.9999244825427375,0.9972229331671394,1.0080716988456948,-0.81,-1.29
1.0013032941500648,0.9983002350395788,1.0050252940100188,-0.81,-1.29
1.0004416992477856,0.9963872207390351,1.0116987836934481,-0.82,-1.29
0.9982620755185708,0.999768730120153,1.0096642865588488,-0.82,-1.29
1.0005486075407048,0.9961054978106655,1.0087809234371599,-0.81,-1.29
0.9987603346936563,0.9970944955127213,1.0054934442690964,-0.81,-1.29
1.0019452542775311,0.9968232944548122,1.0081746423243743,-0.82,-1.29
0.9997681606817763,0.9945039925176099,1.0141438176157445,-0.82,-1.29
0.9984749181453951,0.9993889491341198,1.007407301671048,-0.81,-1.29
1.0001227812018105,0.997763382034069,1.0057101357243994,-0.81,-1.29
1.001071472067808,0.9995814057332318,1.0054334873309103,-0.81,-1.29
0.9991535075653718,0.9986025051201652,1.0088545590680178,-0.82,-1.29
1.0000621448105667,0.9975687940982776,1.0042496292837468,-0.81,-1.29
