beta_x1,beta_s_x2,beta_s_pois,sigma_s_x2,sigma_s_pois
0.9915076021436828,1.1137511950518002,0.36795335961210524,-0.57,-0.54
1.0225251535189805,1.068080913127311,0.4174951553952229,-0.5,-0.91
0.9922362829994709,1.1256877698677414,0.4277541873401127,-0.59,-0.71
1.012604434754197,1.4754248031544368,0.09420441686215761,-0.51,-0.65
0.9881691681666187,1.069488263647743,0.37101253923644295,-0.53,-0.11
0.9938829372556091,1.0678181985484172,0.38126084745853217,-0.51,-0.73
0.9786499079523416,1.3605489594916433,0.17992175037603464,-0.55,-0.45
0.992401311312801,1.119153521749015,0.3997168579581567,-0.54,-0.98
0.9961816735454156,1.1997732812088076,0.24556442455227126,-0.54,-0.18
1.0119833773317084,1.540735955843738,-0.27701033024581384,-0.46,-0.11
0.9758423707657176,1.3351586888887275,0.1147086239486174,-0.51,-0.11
1.042983564792199,1.2467606308270907,0.26262668574560266,-0.55,-0.73
0.9764863390448413,1.2563937115456147,0.2636567611439842,-0.56,-0.45
0.9952364755611031,0.9571967772166313,0.44800540687123497,-0.47,-0.28
1.0415857385760094,1.1899124004302546,0.2554364019344806,-0.54,-0.78
0.9343745198681924,1.0256764230780857,0.3262994204073605,-0.46,-0.01
1.030460305073937,1.1548229121302966,0.431587508394498,-0.52,-0.61
0.957041194917348,1.0497026861522363,0.37596737320051654,-0.51,-0.01
0.9697612737494034,1.4071721551796352,0.12335817036598237,-0.51,-0.82
0.9969011740173618,1.174135558679156,0.3171640080759927,-0.51,-0.38
1.0388253819659305,1.230502449731821,0.3386599154010259,-0.55,-0.75
0.9768224688888247,1.1962215088448986,0.3555897421819528,-0.51,-0.65
0.9980570917286488,1.166994725641369,0.2633672148195213,-0.52,-0.71
1.0023720484295977,1.1223490311407844,0.2464965939150128,-0.48,-0.87
0.9268593149504449,1.0385449617382851,0.44096479008792705,-0.54,-0.65
1.0221275468263884,1.06888981600688,0.40294907990087253,-0.6,-0.92
0.9489898405701491,1.0756518802156279,0.24325658314752505,-0.4,-0.75
0.9624373186020867,1.038664656436112,0.39633499843474473,-0.47,-0.78
0.9645846690864474,1.1210316236331994,0.3568393830406201,-0.47,-0.78
1.0081084920341927,1.0684867003680407,0.4226713275258149,-0.57,-0.04
1.0185911282497708,1.3553272623426986,0.1889721857700061,-0.5,-0.34
1.0024571302868037,1.0262949637057932,0.4153383059215971,-0.51,-0.01
0.988629687716736,1.2131256663555754,0.17826297201977942,-0.52,-0.71
0.9879258890198577,1.2537749228171757,0.2845118910263617,-0.55,-0.04
1.0459957383134695,1.1715548467705312,0.2658714075444204,-0.48,-1.08
1.0138677803124063,1.2236088085934786,0.2501702188030393,-0.55,-0.83
1.0100095270257152,1.0914834280515369,0.41231642702631927,-0.55,-0.91
1.0402154825952203,1.210178411607167,0.017134743378407435,-0.49,-0.54
1.0498017455905015,1.0494086984639408,0.5375900484665825,-0.62,-0.65
0.9883736669477028,1.1946600938501695,0.29689914876167345,-0.55,-0.51
0.9624031564198403,1.082057560885549,0.2569674797614705,-0.47,-0.75
0.9404503020734815,1.116056577064253,0.3594892874193652,-0.45,-0.69
1.0062141091869348,1.2868388790530154,0.15975041931844325,-0.48,-0.71
1.0107019251146283,1.1124114756742898,0.30206712172413475,-0.53,-0.68
0.9957455188295934,1.2668449532626729,0.2905050455331112,-0.55,-0.73
0.936602206000691,1.3221644909016026,0.14674710715717992,-0.49,-0.45
1.0164568036240798,0.970527594238497,0.6172742793449995,-0.58,-0.94
1.0026531166023127,1.0724437164723346,0.5197167917325922,-0.57,-0.85
1.0138253329564584,1.1231461943607397,0.29901144941474334,-0.57,-1.04
0.9692041180033008,1.1852359029688615,0.33350106133334567,-0.59,-0.48
0.9615525774463157,1.2659947974702253,0.09977169741135357,-0.49,-0.68
1.0185226338718976,1.301334684998496,0.25506281481903,-0.55,-0.86
0.9898356916606985,1.1404028576401635,0.23818506433169725,-0.56,-0.28
1.0473848044282297,1.1166889445156416,0.4202541935741263,-0.59,-0.85
1.0003736075585015,1.199849216297328,0.38086009480415317,-0.56,-0.69
1.034451632060438,1.1752706796453025,0.3296797699694408,-0.56,-0.82
1.0033857446111514,1.0970872709881114,0.3545937290124952,-0.51,-0.98
1.0008634413805513,1.3317415490865945,0.11082499562322067,-0.54,-0.62
0.931738638170348,1.0401789054311816,0.338197493730503,-0.5,-0.68
0.985493097865071,1.0680767330171415,0.3338319170730209,-0.54,-0.03
0.9711987788210791,1.1604293857253059,0.2836626023968492,-0.57,-0.75
1.000947311302458,1.1420228761946078,0.5044127612205143,-0.55,-0.54
1.0157760414147303,1.227653500693451,0.2537629455211484,-0.54,-0.75
0.9814798232684243,1.2960305254844602,0.14074742019757341,-0.48,-0.65
0.9880807206039571,0.9686132427099887,0.39876418331634755,-0.54,-0.65
1.0121112222396966,1.0415834165309341,0.47072839657988,-0.58,-0.82
0.9878273744309279,1.0308769375604236,0.3917395785997618,-0.5,-0.82
0.9791023311089594,1.168769203934576,0.3065697511352244,-0.49,-0.62
1.0194393032709477,1.17621998164563,0.05936783560237127,-0.43,-0.82
1.0205639805546063,1.2007297898086589,0.28208990668372097,-0.56,-0.82
0.9856632884406641,0.9892639488504531,0.994696342612033,-2.98,-0.51
0.9580032612359892,1.1683067725125138,0.20516606037596494,-0.49,-0.11
1.042279852389755,1.1623491417501923,0.3156330381032301,-0.54,-0.9
1.0227403594293023,1.0521202838360075,0.32528900985857234,-0.49,-0.87
1.0224724937714031,1.1042066073984425,0.3646515135527422,-0.48,-0.85
0.9730639754220147,1.0706308870551426,0.3059549557277047,-0.48,-1.0
1.0559990566166444,1.0281961551857146,0.4772856918394936,-0.51,-0.82
0.9993284318197583,1.0677567817068023,0.34166961141130386,-0.51,-0.01
0.9705192372334807,1.2705951073306083,0.19683859973186307,-0.52,-0.65
