beta_x1,beta_s_x2,beta_s_pois,sigma_s_x2,sigma_s_pois
0.9812101864954397,0.627276481817548,0.936619810793582,-0.4,-1.19
1.022653053128823,0.8736063416280367,0.9397448172865477,-0.43,-1.34
1.0472588006923733,0.8156407924514545,1.0084296619606083,-0.45,-1.31
0.985339547583634,0.583135702683741,1.0590513133789212,-0.36,-1.19
0.9955462575284272,0.8952667880232765,0.8560776083346748,-0.37,-1.31
0.9986095142250663,0.8175618830781612,0.9612701716689367,-0.49,-1.19
0.9652920807577907,0.6131939241318215,1.0636663472324837,-0.46,-1.18
1.0514654366193654,0.8783933861642857,0.9913132403755958,-0.46,-1.34
0.9161859249880403,0.6753535928721704,0.9357984514824847,-0.37,-1.11
0.8713073276790858,0.42839549440298624,0.9959000349021466,-0.32,-1.12
0.9759802685918263,0.7941912735941555,0.9846193972072252,-0.45,-1.22
0.9520794186859483,0.5863551137321896,1.010216487900032,-0.48,-1.15
0.9752808709326364,0.6394505250741934,0.9741388936363237,-0.49,-1.15
0.9431020255813404,0.8000741828553621,0.8052216532262797,-0.37,-1.23
0.9869340259557491,0.7637915398895259,0.9833537598597308,-0.4,-1.24
0.9689857868987242,0.8184710407639911,0.8939281935951808,-0.42,-1.32
0.986339180423017,0.7691208406526893,0.9539719476946066,-0.43,-1.22
0.981984050269246,0.8550671613056599,0.9314873618965032,-0.4,-1.29
0.9661824588048585,0.5851963966886417,1.086626207242966,-0.42,-1.19
1.0281471328380118,0.7917438120897816,0.9214231116257862,-0.37,-1.28
1.0067105916639272,0.6918251812878975,1.0316783387047312,-0.41,-1.25
1.016775182044233,0.7692610259930304,0.9615427871405129,-0.55,-1.18
1.0041913556184705,0.6634025648533175,0.965851554157196,-0.41,-1.19
0.9792282993428552,0.7871697326106657,0.9421627667105019,-0.44,-1.29
0.9971614672526957,0.8681844135550977,0.9392119957173983,-0.41,-1.32
1.0346280809122095,0.8611418958395858,0.9864325297400544,-0.45,-1.34
0.9000978914684745,0.7961560237426274,0.9213244295901777,-0.38,-1.29
0.9518321686651007,0.814463349525661,0.9382794039969726,-0.47,-1.23
1.0155787702684458,0.7555282669453067,0.9286345664923316,-0.37,-1.26
0.9923218542379075,0.6961894467090283,0.9105014718683875,-0.36,-1.22
0.9589890399030752,0.6864670753588432,1.028733840838955,-0.37,-1.22
0.9840673478932157,0.7092814066828483,0.8870589071886438,-0.47,-1.18
0.9755337477410287,0.7750593027236844,0.949948162373288,-0.41,-1.24
1.0083598614729934,0.643335111975098,1.007737617568153,-0.45,-1.15
1.0310030940585786,0.9280653898669176,0.9528234139315946,-0.44,-1.37
1.0152476327425222,0.6662895006609924,1.0111388251819882,-0.4,-1.23
1.0045560714867117,0.7448780476400118,1.0038794805183358,-0.51,-1.22
0.9481193252467232,1.0823866751901883,0.940512123046286,-0.41,-4.89
1.0346309490996302,0.822725233938113,0.9964108892225594,-0.49,-1.27
1.00065333872823,0.599965489473737,0.9657473310019582,-0.39,-1.22
0.9862900436503649,0.8118513448524913,0.9378660910580147,-0.41,-1.29
0.9376485545442929,0.6724676709109515,0.9807955087332793,-0.31,-1.24
0.980882781386696,0.6843712130118286,0.9751456032082194,-0.43,-1.18
1.009787963192615,0.8374976661732578,0.9061369967675206,-0.41,-1.28
1.0264330862294346,0.6457428785162964,1.050004595797612,-0.42,-1.18
0.9204076880631231,0.42392170135499135,1.0099867822932187,-0.36,-1.19
1.0013621314413328,0.8195985370084805,0.9813016591888183,-0.51,-1.28
1.0113574946529957,0.832459185377717,0.9772534115897062,-0.41,-1.27
1.024377438757871,0.8131834144910491,1.0062659259401137,-0.45,-1.31
1.046569548678089,0.6895980570769731,1.0528568247993038,-0.48,-1.22
0.9899732296013227,0.7232340523892122,0.9440614208191771,-0.36,-1.24
0.9953397675485721,0.6928645737626159,1.0447057326802967,-0.45,-1.26
1.0499294436802125,0.8268741327703893,0.9338972888218701,-0.41,-1.24
0.9549875647921122,0.6816207727614493,1.0114198707101172,-0.45,-1.21
1.0527469195438581,0.7807801065809411,1.0049718529894853,-0.5,-1.25
1.04851941025978,0.6628415141109623,0.9824451399861286,-0.46,-1.18
0.9648246825936279,0.854618793109152,0.9306645615163565,-0.36,-1.34
1.000147797400275,0.47702827258135816,1.021894658112197,-0.4,-1.14
0.9477173167022394,0.7139280801015908,0.9344269043878979,-0.35,-1.29
0.9786436647690849,0.8083963347185628,0.9021084221545013,-0.43,-1.21
1.0225945072821747,0.6595621123864254,1.0005321929813575,-0.37,-1.26
1.023823683043303,0.6753625053232332,0.9686905064774698,-0.43,-1.19
0.9870507668690772,0.646755868309385,0.9997230134549642,-0.49,-1.21
0.988184833216745,0.5818393960676373,0.9623809655680198,-0.41,-1.23
0.9676590017522602,0.7744278636069518,0.9200471426304347,-0.46,-1.25
1.0031791328989854,0.7986519673568424,0.9717337565691461,-0.42,-1.27
0.9913555927316322,0.7946049729249287,0.9345299743417421,-0.39,-1.31
0.9921365338753494,0.7845201824674006,0.9351104830693981,-0.41,-1.26
0.9136236929812314,0.6592098361873058,0.9084437748257662,-0.38,-1.22
1.0365654677759673,0.7672433546352195,1.0258934534809785,-0.46,-1.26
0.9302883521194144,0.7563807058687488,0.8457176168247279,-0.27,-1.14
1.0296730410083028,0.6593158208060633,0.8724798838331547,-0.4,-1.22
1.068342728263235,0.715323213661209,0.9053199893960587,-0.35,-1.28
0.9241878858468746,0.8162494303134397,0.8647813879417064,-0.34,-1.19
1.022995657607211,0.809608906663713,0.9260532223915767,-0.39,-1.27
0.9991955629657684,0.8347597526334611,0.9354724962252253,-0.39,-1.31
1.0419284917117988,0.8378950084976737,0.9387469543388762,-0.45,-1.28
1.0045968001047614,0.7198163769548512,0.8926614247448329,-0.41,-1.2
1.0211204451194207,0.6852768648756585,1.0088805340018228,-0.41,-1.26
0.8707038290655916,0.7346754213381543,0.8155378697701734,-0.35,-1.23
0.8927583020714631,0.714587550574463,0.8965790709516316,-0.33,-1.25
0.9722219143555701,0.875724573553385,0.9488633224348212,-0.47,-1.27
1.0129922739995199,0.8972746084449271,0.9489063832701828,-0.45,-1.32
0.8877968009811784,0.6952355373617689,0.8428053928414776,-0.39,-1.13
1.0280301505852167,0.7242364342883032,1.0691639328160785,-0.48,-1.27
0.9551156850512984,0.44730783750243075,0.968502121178867,-0.33,-1.09
0.9481301893937735,0.7320828715937404,0.9656860410628456,-0.38,-1.2
0.9929917667772943,0.772729138449996,1.0049360649504637,-0.42,-1.26
1.0382671063942972,0.9170633877517699,0.9949570994210778,-0.51,-1.36
1.0189429004767174,0.8095706303994019,0.958017220084463,-0.47,-1.26
0.9893341274639835,0.6557589704667859,0.9145861885167624,-0.38,-1.22
0.9988527706741303,0.7811119513644431,0.966427013462041,-0.55,-1.19
1.0284644212336012,0.7799833521948973,0.9628054456915218,-0.5,-1.25
1.0103763611783174,0.8130441760783365,0.9289717013703934,-0.34,-1.31
1.002703199419861,0.8391579127809443,1.0115532996184753,-0.56,-1.31
1.0437295372240143,0.6517867328156066,0.9888027837142349,-0.42,-1.22
