beta_x1,beta_s_x2,beta_s_pois,sigma_s_x2,sigma_s_pois,lb_awci_sigma_s_x2,ub_awci_sigma_s_x2,lb_awci_sigma_s_pois,ub_awci_sigma_s_pois,lb_rbci_sigma_s_x2,ub_rbci_sigma_s_x2,lb_rbci_sigma_s_pois,ub_rbci_sigma_s_pois
0.9039500784207541,0.9599169555862836,1.0356724256143288,-0.54,-1.45,-0.57,-0.5,-1.53,-1.39,-0.62,-0.4948,-1.5252,-1.3448
1.0634594234657782,0.9774817324223252,1.020482134961539,-0.49,-1.48,-0.52,-0.46,-1.53,-1.42,-0.5452,-0.46,-1.56,-1.3948
1.0356187683189375,1.0311362268897777,0.9792783129339604,-0.47,-1.52,-0.51,-0.42,-1.61,-1.42,-0.5252,-0.4,-1.6605,-1.4248
0.9684058091492201,1.0354946480188698,0.9419575968979522,-0.43,-1.63,-0.49,-0.38,-1.89,-1.49,-0.49,-0.3595,-1.8505,-1.4848
0.9422649186756019,1.0552946529911937,0.9180009436416479,-0.47,-1.54,-0.5,-0.42,-1.62,-1.47,-0.54,-0.4148,-1.64,-1.45
1.0106161048366757,1.1231246067294998,0.9183731593793012,-0.51,-1.54,-0.54,-0.48,-1.77,-1.41,-0.56,-0.4748,-1.76,-1.38
1.0195462985815151,1.0720521802758447,0.984190743163739,-0.48,-1.58,-0.52,-0.43,-1.73,-1.47,-0.5352,-0.4148,-1.76,-1.4595
1.0633263507103583,1.1110781959442864,0.9417906733234817,-0.49,-1.53,-0.53,-0.46,-1.63,-1.45,-0.5552,-0.46,-1.6352,-1.4148
1.0196448580313557,1.189240184135601,0.9497350791368738,-0.44,-1.64,-0.49,-0.39,-1.79,-1.53,-0.51,-0.3595,-1.8052,-1.5248
0.9023682336912164,0.9224017762624963,0.9760671544619942,-0.49,-1.59,-0.53,-0.45,-1.78,-1.47,-0.54,-0.4448,-1.8,-1.45
1.022569690737927,0.9639545063652556,0.9986398496718056,-0.5,-1.52,-0.55,-0.46,-1.62,-1.44,-0.6252,-0.4348,-1.6805,-1.37
0.9733485360043189,1.0480631640668419,0.9962517516422132,-0.5,-1.53,-0.54,-0.47,-1.68,-1.43,-0.5452,-0.46,-1.7105,-1.42
1.0986754928532256,1.0609942172020768,1.0162206385830743,-0.5,-1.63,-0.54,-0.47,-1.83,-1.51,-0.55,-0.47,-1.8262,-1.4343
0.9648585580375647,1.060044375314939,0.9914500425406669,-0.47,-1.58,-0.5,-0.44,-1.66,-1.52,-0.51,-0.43,-1.6952,-1.48
1.0257646103673035,0.9596574938972631,1.0696290083156874,-0.54,-1.45,-0.59,-0.49,-1.54,-1.38,-0.6252,-0.4648,-1.5852,-1.3448
1.0044309045969713,0.9446184214829302,0.9926138484687963,-0.49,-1.5,-0.53,-0.45,-1.55,-1.45,-0.56,-0.4448,-1.56,-1.4148
1.0733910246616079,0.987443877509329,0.980827323475438,-0.5,-1.49,-0.55,-0.45,-1.59,-1.4,-0.56,-0.43,-1.63,-1.3848
0.9826055115434068,1.0662219699828657,1.0270816474503164,-0.54,-1.55,-0.58,-0.5,-1.65,-1.47,-0.59,-0.4848,-1.6662,-1.4448
1.0096501502864685,1.0339600048742261,0.9657298663431616,-0.54,-1.42,-0.58,-0.48,-1.57,-1.33,-0.7015,-0.47,-1.63,-1.26
0.9943518032489845,1.0407467319847818,0.9443609953963329,-0.49,-1.53,-0.53,-0.46,-1.6,-1.46,-0.5552,-0.45,-1.6252,-1.44
1.0752102020748833,0.9916535572880151,0.9408234177832348,-0.51,-1.53,-0.55,-0.45,-1.64,-1.43,-0.6105,-0.47,-1.69,-1.4195
1.0502928856973903,0.9549152424311604,1.013707992099398,-0.51,-1.42,-0.54,-0.47,-1.54,-1.35,-0.5752,-0.46,-1.5505,-1.3195
0.9585060962141555,1.1269267025079472,0.9817155299177048,-0.48,-1.53,-0.52,-0.45,-1.61,-1.44,-0.54,-0.45,-1.67,-1.4143
0.9963363461032139,1.0422198432679368,1.0381271524926043,-0.49,-1.56,-0.52,-0.46,-1.64,-1.49,-0.5452,-0.46,-1.63,-1.4748
0.995304804003093,0.963839602000788,1.0397983657632792,-0.48,-1.49,-0.52,-0.44,-1.56,-1.43,-0.54,-0.45,-1.56,-1.4148
0.9707320708652449,1.0301156622676715,0.9780818164331818,-0.5,-1.53,-0.54,-0.46,-1.6,-1.45,-0.57,-0.45,-1.6352,-1.4195
0.9505605836670852,0.9284430216081024,1.12360518207125,-0.51,-1.49,-0.54,-0.47,-1.55,-1.45,-0.5752,-0.46,-1.56,-1.43
1.0238708485303438,0.9620966473264727,0.9956109460788717,-0.54,-1.45,-0.57,-0.5,-1.53,-1.39,-0.6105,-0.5,-1.53,-1.3548
0.9489135107627417,0.9196353221973991,1.117747130773987,-0.47,-1.48,-0.51,-0.42,-1.56,-1.42,-0.54,-0.43,-1.5352,-1.3748
0.9409519024269215,0.9996081337632188,0.9558448406994393,-0.52,-1.49,-0.57,-0.47,-1.57,-1.43,-0.5852,-0.4595,-1.5705,-1.41
1.1069469430760759,1.150283651919297,0.9931425081243319,-0.43,-1.64,-0.47,-0.37,-1.8,-1.53,-0.5052,-0.37,-1.8205,-1.48
0.902861666797836,1.1152760828644044,1.006354189368998,-0.47,-1.54,-0.5,-0.44,-1.71,-1.45,-0.51,-0.43,-1.7105,-1.42
0.9325343297072907,1.0132028313980668,1.0110625372205877,-0.51,-1.46,-0.55,-0.47,-1.54,-1.39,-0.6052,-0.4548,-1.5705,-1.33
1.0274886368151697,0.916534221992992,0.9809291209421989,-0.48,-1.48,-0.53,-0.44,-1.67,-1.37,-0.5652,-0.45,-1.6952,-1.3295
0.9497729370878045,0.8025491967365032,1.1145224120572583,-0.62,-1.38,-0.71,-0.55,-1.43,-1.33,-0.82,-0.5148,-1.45,-1.2848
1.0243702881680776,0.8759595919099067,1.0540498843923598,-0.54,-1.38,-0.59,-0.48,-1.45,-1.31,-0.69,-0.48,-1.5052,-1.28
1.0044786762539237,0.9672580407374164,1.1047150654286817,-0.5,-1.44,-0.55,-0.45,-1.54,-1.37,-0.611,-0.45,-1.5552,-1.3148
0.9275997076981649,1.0208867178321712,0.998248358079499,-0.55,-1.34,-0.58,-0.51,-1.41,-1.29,-0.64,-0.4848,-1.4705,-1.2495
0.9883243633960056,1.1340242697680951,0.9819777799325181,-0.48,-1.48,-0.52,-0.43,-1.57,-1.4,-0.54,-0.43,-1.58,-1.3848
0.958488193202208,1.085743173855635,0.8999707552441342,-0.48,-1.59,-0.52,-0.44,-1.7,-1.5,-0.5252,-0.44,-1.7158,-1.52
0.9424530323460364,1.0017407146068962,0.9524074996022679,-0.46,-1.53,-0.49,-0.42,-1.65,-1.44,-0.51,-0.41,-1.6952,-1.42
1.0520752318718858,1.0358870136173604,0.9437639700562946,-0.48,-1.47,-0.53,-0.43,-1.56,-1.4,-0.57,-0.4148,-1.6205,-1.3543
1.0323283123246563,0.8631147316625359,1.0313021851689452,-0.51,-1.42,-0.56,-0.47,-1.53,-1.35,-0.58,-0.46,-1.55,-1.3195
1.0087373782164721,0.8873454936313235,1.1657040654601074,-0.54,-1.44,-0.58,-0.49,-1.5,-1.4,-0.6657,-0.4748,-1.53,-1.3248
1.0049336780215818,1.1551260492699778,0.970823515297707,-0.48,-1.59,-0.53,-0.44,-1.75,-1.46,-0.56,-0.43,-1.781,-1.3995
1.0233071253305497,1.0245579503644668,0.9804605257199366,-0.51,-1.47,-0.54,-0.46,-1.55,-1.41,-0.6,-0.46,-1.601,-1.3543
1.0454121936142793,0.9857006639667689,0.9873319148206744,-0.52,-1.45,-0.56,-0.48,-1.52,-1.4,-0.58,-0.46,-1.53,-1.3748
1.0006809673203965,0.9055148255539582,1.0051344948229572,-0.54,-1.42,-0.59,-0.48,-1.5,-1.34,-0.6252,-0.4748,-1.53,-1.3248
1.0079386591782131,1.1307516095417436,0.9674582541289115,-0.48,-1.6,-0.51,-0.44,-1.72,-1.51,-0.54,-0.44,-1.7458,-1.4548
0.9845536500432871,1.1870235875739437,0.9516748664313441,-0.48,-1.69,-0.51,-0.45,-1.86,-1.56,-0.51,-0.44,-1.8458,-1.5448
1.0580962493639992,1.0170118038037002,0.9731573949175136,-0.48,-1.48,-0.52,-0.43,-1.57,-1.4,-0.56,-0.4248,-1.58,-1.3543
0.977127651700877,1.018484211989786,0.9218006606484652,-0.48,-1.5,-0.52,-0.44,-1.62,-1.42,-0.54,-0.42,-1.6805,-1.39
0.9812426322028246,0.9000834191991786,1.1599368956431748,-0.54,-1.37,-0.59,-0.5,-1.45,-1.32,-0.7252,-0.49,-1.45,-1.24
1.0348893631195146,0.9098937974217272,0.9972943302430877,-0.5,-1.53,-0.54,-0.45,-1.64,-1.43,-0.56,-0.45,-1.67,-1.4095
0.9707618842516359,1.13335247397166,1.0998410407724808,-0.48,-1.59,-0.52,-0.45,-1.73,-1.49,-0.52,-0.4448,-1.7405,-1.5
0.9718497975322246,0.9818611153490178,1.0046959143055594,-0.48,-1.53,-0.52,-0.43,-1.73,-1.4,-0.5452,-0.4248,-1.7158,-1.37
1.0858989391864269,1.0455901431130399,0.9046398401543725,-0.51,-1.53,-0.55,-0.48,-1.63,-1.45,-0.5752,-0.47,-1.6358,-1.42
1.0714902340218264,0.9320988474962367,0.9800665789968528,-0.54,-1.49,-0.58,-0.49,-1.66,-1.38,-0.6405,-0.48,-1.66,-1.319
0.9493617018311145,0.9417528653200327,1.053113020810426,-0.55,-1.45,-0.58,-0.51,-1.51,-1.41,-0.6,-0.5048,-1.54,-1.38
1.0007851146885947,0.8943748262118149,1.2195439606340022,-0.57,-1.36,-0.61,-0.52,-1.42,-1.32,-0.65,-0.52,-1.43,-1.28
1.0254097348198932,1.1054467204005705,0.9527937861936081,-0.53,-1.53,-0.57,-0.49,-1.65,-1.44,-0.6,-0.48,-1.6752,-1.4095
0.9533030181280571,0.9820424034296177,1.0795622221559071,-0.48,-1.48,-0.54,-0.42,-1.59,-1.39,-0.57,-0.4248,-1.6252,-1.3695
1.0316315431389476,0.9324034279261855,1.0401085758860307,-0.49,-1.45,-0.53,-0.46,-1.54,-1.39,-0.5805,-0.4395,-1.6105,-1.3248
0.9295323773088612,1.0797810167010677,0.9718540089590594,-0.5,-1.59,-0.54,-0.47,-1.72,-1.5,-0.56,-0.45,-1.7458,-1.4395
1.0415249039957395,0.9062412239805142,1.0936810095809697,-0.52,-1.41,-0.55,-0.48,-1.48,-1.37,-0.57,-0.48,-1.49,-1.3348
0.9837949855808273,0.9791446474448766,1.0764193687464758,-0.55,-1.47,-0.58,-0.51,-1.53,-1.41,-0.62,-0.51,-1.5452,-1.3795
0.929920359101902,1.106555247333672,1.0929148956560626,-0.45,-1.6,-0.48,-0.42,-1.7,-1.52,-0.4852,-0.4148,-1.7,-1.4795
0.9903651785164964,0.9555946740371754,1.024114009260186,-0.5,-1.42,-0.54,-0.46,-1.48,-1.36,-0.59,-0.4348,-1.5158,-1.3095
1.0167062069676278,0.9669139998889278,0.96408070534065,-0.49,-1.49,-0.53,-0.45,-1.62,-1.41,-0.5652,-0.43,-1.6805,-1.3548
0.9966428856298226,0.96194110942295,1.0867527105188397,-0.52,-1.42,-0.57,-0.47,-1.53,-1.35,-0.6252,-0.4548,-1.5952,-1.31
0.9935003786077815,1.0103086074996999,0.9522516065746854,-0.5,-1.48,-0.56,-0.47,-1.6,-1.42,-0.5552,-0.4548,-1.5852,-1.3748
1.0453857853336606,0.9580277250938376,0.9733144436357599,-0.52,-1.42,-0.55,-0.48,-1.49,-1.36,-0.58,-0.4748,-1.53,-1.3248
1.0417239237665976,0.9623479242754933,0.9102420894794054,-0.5,-1.48,-0.55,-0.46,-1.59,-1.4,-0.57,-0.43,-1.651,-1.349
1.05211590584861,1.0533891381371547,0.9777211603917768,-0.54,-1.45,-0.57,-0.49,-1.53,-1.38,-0.62,-0.48,-1.561,-1.3295
0.9581623841651113,1.0118290215449548,1.0925090312045052,-0.51,-1.48,-0.55,-0.47,-1.55,-1.42,-0.57,-0.4648,-1.56,-1.3743
0.9036718964570174,0.9750800572760329,1.067730610525438,-0.53,-1.49,-0.57,-0.49,-1.6,-1.41,-0.59,-0.4748,-1.67,-1.4
0.9606470806088987,0.955638377159415,1.0069301489792972,-0.52,-1.47,-0.56,-0.48,-1.55,-1.4,-0.5905,-0.4648,-1.56,-1.3595
0.9748739492299264,0.968131330949485,0.9282691270821289,-0.48,-1.47,-0.53,-0.44,-1.61,-1.39,-0.55,-0.4348,-1.6805,-1.36
1.0693608675377193,0.9551620176028863,1.1051328443287989,-0.51,-1.5,-0.54,-0.46,-1.57,-1.44,-0.61,-0.4595,-1.5952,-1.4
1.0470406468625078,0.8913458767976888,1.056008690854698,-0.51,-1.45,-0.54,-0.47,-1.5,-1.41,-0.601,-0.46,-1.5252,-1.37
0.9734276991973629,0.8882161163966187,1.094519402552995,-0.53,-1.43,-0.57,-0.49,-1.5,-1.38,-0.62,-0.47,-1.5405,-1.3248
1.0284462561603627,1.0238818715080877,0.9853005880069402,-0.49,-1.49,-0.52,-0.45,-1.58,-1.43,-0.54,-0.4448,-1.58,-1.4048
1.0411968872815878,1.029134943320525,0.9753590195369344,-0.47,-1.56,-0.5,-0.44,-1.65,-1.5,-0.51,-0.4348,-1.6605,-1.4448
0.951008304321552,1.0133031358177091,0.9899597782476655,-0.46,-1.58,-0.5,-0.43,-1.69,-1.49,-0.51,-0.43,-1.7,-1.44
0.9478863203938532,1.0530996231897305,1.00114159262206,-0.5,-1.56,-0.55,-0.45,-1.72,-1.44,-0.57,-0.4448,-1.781,-1.3895
0.9687267998958491,0.981359829776373,1.144387914573808,-0.51,-1.52,-0.55,-0.46,-1.61,-1.44,-0.58,-0.46,-1.63,-1.41
1.087774917176107,1.0146262293068258,0.999589053759135,-0.54,-1.49,-0.58,-0.49,-1.57,-1.41,-0.64,-0.47,-1.6558,-1.3595
1.0477007997466259,1.0326921306511958,0.8953590831859832,-0.48,-1.53,-0.52,-0.44,-1.65,-1.45,-0.5552,-0.4348,-1.6805,-1.4148
1.0231592374954936,0.9687082646701828,0.9252085726295765,-0.52,-1.49,-0.55,-0.49,-1.58,-1.41,-0.57,-0.48,-1.6652,-1.38
1.0032440433692633,0.8666040654478854,0.987705407642014,-0.54,-1.4,-0.57,-0.49,-1.47,-1.34,-0.6052,-0.49,-1.49,-1.3148
0.9855873741466369,1.0307084162893896,0.9234983979814718,-0.55,-1.42,-0.58,-0.51,-1.49,-1.36,-0.6152,-0.5048,-1.49,-1.3548
0.95439412187388,0.9696804236221742,0.9990640974325279,-0.54,-1.42,-0.57,-0.5,-1.53,-1.34,-0.58,-0.51,-1.52,-1.32
0.9912796889415045,0.9463653707427183,1.041105110278799,-0.5,-1.46,-0.54,-0.47,-1.54,-1.39,-0.55,-0.46,-1.5552,-1.39
0.9862858663185763,1.072296852841577,1.0065101220082138,-0.47,-1.53,-0.51,-0.44,-1.6,-1.45,-0.5452,-0.4048,-1.6352,-1.4143
1.0658011030223695,1.0477016837403124,0.9226483966029979,-0.47,-1.53,-0.5,-0.44,-1.61,-1.45,-0.5152,-0.43,-1.6305,-1.44
1.017150727617454,0.9333105392556619,1.1103080985930136,-0.57,-1.44,-0.62,-0.51,-1.51,-1.39,-0.6657,-0.5048,-1.5252,-1.36
1.0027374269430063,0.9030835295089406,1.004744982517053,-0.5,-1.48,-0.54,-0.47,-1.55,-1.42,-0.54,-0.46,-1.55,-1.41
0.9850662991530752,1.0929286878951665,1.005089875362011,-0.49,-1.53,-0.52,-0.45,-1.61,-1.46,-0.54,-0.46,-1.6052,-1.43
